"","Country","iso2","iso3","Year","icd10n","icd103n","icd104n","icd10c","icd103c","icd104c","icd11c1","icd11c2","icd11c3","icd11l1","icd11l2","icd11l3","Disease","DONs","Definition"
"4824","Saudi Arabia","SA","SAU",2009,"Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1429, DON1426, DON1419, DON1435, DON1430, DON1424, DON1431, DON1425, DON1427, DON1420, DON1423, DON1434, DON1428, DON1433, DON1422","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"4826","Saudi Arabia","SA","SAU",2016,"Provisional assignment of new diseases of uncertain etiology or emergency use","Severe acute respiratory syndrome [SARS]","Middle East respiratory syndrome coronavirus [MERS-CoV]","U00-U49","U04","U040","1","D64","1D64","Certain infectious or parasitic diseases  ","Certain zoonotic viral diseases","Middle East respiratory syndrome","Middle East respiratory syndrome","DON2192, DON2276, DON2177, DON2270, DON2281, DON2286, DON2231, DON2226, DON2256, DON2157, DON2200, DON2259, DON2212, DON2257, DON2282, DON2206, DON2277, DON2272, DON2203, DON2245, DON2236, DON2202, DON2288, DON2171, DON2265, DON2204, DON2262","A disease caused by an infection with Middle East Respiratory Syndrome coronavirus (MERS-CoA). This disease is characterised by severe acute respiratory illness with fever, cough, and shortness of breath. Confirmation is by identification of Middle East Respiratory Syndrome coronavirus from genetic material."
"4827","Saudi Arabia","SA","SAU",2013,"Provisional assignment of new diseases of uncertain etiology or emergency use","Severe acute respiratory syndrome [SARS]","Middle East respiratory syndrome coronavirus [MERS-CoV]","U00-U49","U04","U040","1","D64","1D64","Certain infectious or parasitic diseases  ","Certain zoonotic viral diseases","Middle East respiratory syndrome","Middle East respiratory syndrome","DON1766, DON1734, DON1794, DON1728, DON1757, DON1748, DON1729, DON1742, DON1759, DON1758, DON1809, DON1772, DON1763, DON1743, DON1727, DON1762, DON1767, DON1774, DON1749, DON1752, DON1775, DON1770, DON1700, DON1810, DON1738, DON1746, DON1740, DON1765, DON1703, DON1753, DON1755, DON1790, DON1732, DON1739, DON1701, DON1702, DON1741, DON1751, DON1806, DON1754, DON1699, DON1736, DON1744, DON1735, DON1781, DON1779","A disease caused by an infection with Middle East Respiratory Syndrome coronavirus (MERS-CoA). This disease is characterised by severe acute respiratory illness with fever, cough, and shortness of breath. Confirmation is by identification of Middle East Respiratory Syndrome coronavirus from genetic material."
"4830","Saudi Arabia","SA","SAU",2015,"Provisional assignment of new diseases of uncertain etiology or emergency use","Severe acute respiratory syndrome [SARS]","Middle East respiratory syndrome coronavirus [MERS-CoV]","U00-U49","U04","U040","1","D64","1D64","Certain infectious or parasitic diseases  ","Certain zoonotic viral diseases","Middle East respiratory syndrome","Middle East respiratory syndrome","DON2059, DON2028, DON2119, DON2043, DON2096, DON2098, DON2056, DON2007, DON2022, DON2128, DON2134, DON2032, DON2123, DON2019, DON2101, DON2072, DON2099, DON2093, DON2105, DON2062, DON2102, DON2066, DON2100, DON2081, DON2108, DON2095, DON2130, DON2113, DON2031, DON2024, DON2035, DON2039, DON2004, DON2015, DON2011, DON2020, DON2146, DON2117, DON2049, DON2033, DON2048, DON2036, DON2076, DON2109","A disease caused by an infection with Middle East Respiratory Syndrome coronavirus (MERS-CoA). This disease is characterised by severe acute respiratory illness with fever, cough, and shortness of breath. Confirmation is by identification of Middle East Respiratory Syndrome coronavirus from genetic material."
"4832","Saudi Arabia","SA","SAU",1996,"Arthropod-borne viral fevers and viral haemorrhagic fevers","Yellow fever","Yellow fever, unspecified","A92-A99","A95","A959","1","D47","1D47","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","Yellow fever","Yellow fever, unspecified","DON0107","A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample."
"4839","Saudi Arabia","SA","SAU",2021,"Provisional assignment of new diseases of uncertain etiology or emergency use","Severe acute respiratory syndrome [SARS]","Middle East respiratory syndrome coronavirus [MERS-CoV]","U00-U49","U04","U040","1","D64","1D64","Certain infectious or parasitic diseases  ","Certain zoonotic viral diseases","Middle East respiratory syndrome","Middle East respiratory syndrome","DON2692, DON2675, DON2683, DON2683, DON2683, DON2683, DON2683, DON2683, DON2683, DON2683","A disease caused by an infection with Middle East Respiratory Syndrome coronavirus (MERS-CoA). This disease is characterised by severe acute respiratory illness with fever, cough, and shortness of breath. Confirmation is by identification of Middle East Respiratory Syndrome coronavirus from genetic material."
"4845","Saudi Arabia","SA","SAU",2001,"Other bacterial diseases","Meningococcal infection","Meningococcal meningitis","A30-A49","A39","A390","1","C1C","1C1C","Certain infectious or parasitic diseases  ","Other bacterial diseases","Meningococcal disease","Meningococcal meningitis","DON0508, DON0495, DON0494","A condition of the meninges, caused by an infection with the gram-negative bacteria Neisseria meningitidis. This condition is characterised by high fever, stiff neck, severe headache, vomiting, purpura, photophobia, and sometimes chills, altered mental status, or seizures. Transmission is through haematogenous spread to the meninges after droplet transmission or direct contact. Confirmation is by identification of Neisseria meningitidis through a lumbar puncture, agglutination tests, or polymerase chain reaction."
"4847","Saudi Arabia","SA","SAU",2017,"Provisional assignment of new diseases of uncertain etiology or emergency use","Severe acute respiratory syndrome [SARS]","Middle East respiratory syndrome coronavirus [MERS-CoV]","U00-U49","U04","U040","1","D64","1D64","Certain infectious or parasitic diseases  ","Certain zoonotic viral diseases","Middle East respiratory syndrome","Middle East respiratory syndrome","DON2383, DON2339, DON2336, DON2358, DON2374, DON2309, DON2295, DON2353, DON2342, DON2345, DON2366, DON2333, DON2317, DON2298, DON2300, DON2324","A disease caused by an infection with Middle East Respiratory Syndrome coronavirus (MERS-CoA). This disease is characterised by severe acute respiratory illness with fever, cough, and shortness of breath. Confirmation is by identification of Middle East Respiratory Syndrome coronavirus from genetic material."
"4868","Saudi Arabia","SA","SAU",2018,"Provisional assignment of new diseases of uncertain etiology or emergency use","Severe acute respiratory syndrome [SARS]","Middle East respiratory syndrome coronavirus [MERS-CoV]","U00-U49","U04","U040","1","D64","1D64","Certain infectious or parasitic diseases  ","Certain zoonotic viral diseases","Middle East respiratory syndrome","Middle East respiratory syndrome","DON2456, DON2479, DON2467, DON2470, DON2393, DON2429","A disease caused by an infection with Middle East Respiratory Syndrome coronavirus (MERS-CoA). This disease is characterised by severe acute respiratory illness with fever, cough, and shortness of breath. Confirmation is by identification of Middle East Respiratory Syndrome coronavirus from genetic material."
"4869","Saudi Arabia","SA","SAU",2020,"Provisional assignment of new diseases of uncertain etiology or emergency use","Severe acute respiratory syndrome [SARS]","Middle East respiratory syndrome coronavirus [MERS-CoV]","U00-U49","U04","U040","1","D64","1D64","Certain infectious or parasitic diseases  ","Certain zoonotic viral diseases","Middle East respiratory syndrome","Middle East respiratory syndrome","DON2638, DON2619, DON2652, DON2629","A disease caused by an infection with Middle East Respiratory Syndrome coronavirus (MERS-CoA). This disease is characterised by severe acute respiratory illness with fever, cough, and shortness of breath. Confirmation is by identification of Middle East Respiratory Syndrome coronavirus from genetic material."
"4872","Saudi Arabia","SA","SAU",2000,"Arthropod-borne viral fevers and viral haemorrhagic fevers","Other mosquito-borne viral fevers","Rift Valley fever","A92-A99","A92","A924","1","D44","1D44","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","Rift Valley fever","Rift Valley fever","DON0422, DON0415, DON0419, DON0427","A disease caused by an infection with Rift Valley fever virus. This disease is commonly asymptomatic. This disease may also present with fever, liver abnormalities, weakness, back pain, or dizziness. Transmission is through the bite of an infected mosquito. Confirmation is commonly by detection of Rift Valley fever virus specific IgM or IgG antibodies in a blood sample."
"5012","Saudi Arabia","SA","SAU",1998,"Arthropod-borne viral fevers and viral haemorrhagic fevers","Yellow fever","Yellow fever, unspecified","A92-A99","A95","A959","1","D47","1D47","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","Yellow fever","Yellow fever, unspecified","DON0198","A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample."
"5037","Senegal","SN","SEN",1996,"Intestinal infectious diseases","Cholera","Classical cholera","A00-A09","A00","A000","1","A00","1A00","Certain infectious or parasitic diseases  ","Gastroenteritis or colitis of infectious origin  ","Bacterial intestinal infections  ","Cholera","DON0001, DON0010, DON0087, DON0019, DON0028","Intestinal infection due to Vibrio cholerae"
"5039","Senegal","SN","SEN",2011,"Arthropod-borne viral fevers and viral haemorrhagic fevers","Yellow fever","Yellow fever, unspecified","A92-A99","A95","A959","1","D47","1D47","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","Yellow fever","Yellow fever, unspecified","DON1611","A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample."
"5040","Senegal","SN","SEN",2005,"Intestinal infectious diseases","Cholera","Classical cholera","A00-A09","A00","A000","1","A00","1A00","Certain infectious or parasitic diseases  ","Gastroenteritis or colitis of infectious origin  ","Bacterial intestinal infections  ","Cholera","DON0968, DON1002, DON0978, DON1023, DON1004, DON1016, DON0951","Intestinal infection due to Vibrio cholerae"
"5041","Senegal","SN","SEN",2010,"Arthropod-borne viral fevers and viral haemorrhagic fevers","Yellow fever","Yellow fever, unspecified","A92-A99","A95","A959","1","D47","1D47","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","Yellow fever","Yellow fever, unspecified","DON1542","A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample."
"5042","Senegal","SN","SEN",2004,"Intestinal infectious diseases","Cholera","Classical cholera","A00-A09","A00","A000","1","A00","1A00","Certain infectious or parasitic diseases  ","Gastroenteritis or colitis of infectious origin  ","Bacterial intestinal infections  ","Cholera","DON0913, DON0912","Intestinal infection due to Vibrio cholerae"
"5043","Senegal","SN","SEN",2002,"Arthropod-borne viral fevers and viral haemorrhagic fevers","Yellow fever","Yellow fever, unspecified","A92-A99","A95","A959","1","D47","1D47","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","Yellow fever","Yellow fever, unspecified","DON0638, DON0648, DON0636, DON0643, DON0570, DON0641, DON0635","A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample."
"5044","Senegal","SN","SEN",2010,"Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1511","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"5045","Senegal","SN","SEN",2021,"Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","A80-A89","A80","A809","1","C81","1C81","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","DON2682","A disease of the nervous system, caused by human poliovirus. This disease commonly presents with a fever, sore throat, headache, vomiting, or stiffness of the neck and back. This disease may present with an acute onset of flaccid paralysis. Transmission is commonly by the faecal-oral route or direct contact. Confirmation is by identification of poliovirus in a faecal sample or by a lumbar puncture."
"5046","Senegal","SN","SEN",2014,"Arthropod-borne viral fevers and viral haemorrhagic fevers","Other viral haemorrhagic fevers, not elsewhere classified","Ebola virus disease","A92-A99","A98","A984","1","D60","1D60","Certain infectious or parasitic diseases  ","Certain zoonotic viral diseases","Filovirus disease","Ebola disease","DON1970, DON1972","A severe disease with high case fatality caused by infection with Ebola virus or a closely related virus. Ebola disease is typically characterised by acute onset of fever with non-specific symptoms/signs (e.g., abdominal pain, anorexia, fatigue, malaise, myalgia, sore throat) usually followed several days later by nausea, vomiting, diarrhoea, and occasionally a variable rash. Hiccups may occur. Severe illness may include haemorrhagic manifestations (e.g., bleeding from puncture sites, ecchymoses, petechiae, visceral effusions), encephalopathy, shock/hypotension, multi-organ failure, spontaneous abortion in infected pregnant women. Common laboratory findings include thrombocytopenia, elevated transaminase concentrations, electrolyte abnormalities, and signs of renal dysfunction. Individuals who recover may experience prolonged sequelae (e.g., arthralgia, neurocognitive dysfunction, uveitis sometimes followed by cataract formation), and clinical and subclinical persistent infection may occur in immune-privileged compartments (e.g., CNS, eyes, testes). Person-to-person transmission occurs by direct contact with blood, other bodily fluids, organs, or contaminated surfaces and materials with risk beginning at the onset of clinical signs and increasing with disease severity. Family members, sexual contacts, healthcare providers, and participants in burial ceremonies with direct contact with the deceased are at particular risk. The incubation period typically is 7–11 days (range ≈2–21 days)."
"5055","Senegal","SN","SEN",2020,"Arthropod-borne viral fevers and viral haemorrhagic fevers","Yellow fever","Yellow fever, unspecified","A92-A99","A95","A959","1","D47","1D47","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","Yellow fever","Yellow fever, unspecified","DON2671","A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample."
"5059","Senegal","SN","SEN",1999,"Other bacterial diseases","Meningococcal infection","Meningococcal meningitis","A30-A49","A39","A390","1","C1C","1C1C","Certain infectious or parasitic diseases  ","Other bacterial diseases","Meningococcal disease","Meningococcal meningitis","DON0299","A condition of the meninges, caused by an infection with the gram-negative bacteria Neisseria meningitidis. This condition is characterised by high fever, stiff neck, severe headache, vomiting, purpura, photophobia, and sometimes chills, altered mental status, or seizures. Transmission is through haematogenous spread to the meninges after droplet transmission or direct contact. Confirmation is by identification of Neisseria meningitidis through a lumbar puncture, agglutination tests, or polymerase chain reaction."
"5061","Senegal","SN","SEN",2015,"Arthropod-borne viral fevers and viral haemorrhagic fevers","Other mosquito-borne viral fevers","Chikungunya virus disease","A92-A99","A92","A920","1","D40","1D40","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","Chikungunya virus disease","Chikungunya mosquito-borne viral fever","DON2111","Individuals are infected with the virus through a mosquito bite from Aedes mosquitos (Aedes albopictus and A. aegypti). Concomitant fever and arthalgia are a common specific sign although infection can present with non-specific symptoms that can be confused with Dengue including headache, rash and myalgia. Free virions are transported via the blood to the liver (hepatocyte apoptosis), muscle, joints and secondary lymphoid organs (adenopathy), wherein the virus replicates. Viral replication is associated with an infiltration of mononuclear cells including macrophages, which underlies the debilitating pain experienced in the muscles and joints, which can persist for months to years post infection. A small percentage of infected individuals remain asymptomatic, this is more common in patients under 25 years old. Age over 40 years is a risk factor for chronicity of symptoms. Encephalitis, Guillain-Barre sundrome and arthritis are rare complications of infection with Chikungya virus."
"5066","Senegal","SN","SEN",1997,"Viral infections of the central nervous system","Viral meningitis","Viral meningitis, unspecified","A80-A89","A87","A879","1","C8E","1C8E","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Viral meningitis not elsewhere classified","Viral meningitis not elsewhere classified, unspecified","DON0146","Any disease of the meninges, caused by an infection with a viral source."
"5068","Serbia","RS","SRB",2009,"Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1434, DON1431, DON1435, DON1430, DON1433","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"5070","Serbia","RS","SRB",2004,"Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON0813","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"5071","Serbia","RS","SRB",2015,"Viral infections characterized by skin and mucous membrane lesions","Measles","Measles","B00-B09","B05","B05","1","F03","1F03","Certain infectious or parasitic diseases  ","Viral infections characterised by skin or mucous membrane lesions","Measles","Measles","DON2023","A disease of the respiratory system, caused by an infection with Morbillivirus. This disease is characterised by a blotchy rash, fever, cough, conjunctivitis, or malaise. This disease may also present with tiny white spots with bluish-white centres inside the mouth. Transmission is by inhalation of infected respiratory secretions, airborne transmission or direct contact. Confirmation is by detection of Morbillivirus RNA or measles-specific IgM antibodies."
"5073","Serbia","RS","SRB",2019,"Viral infections characterized by skin and mucous membrane lesions","Measles","Measles","B00-B09","B05","B05","1","F03","1F03","Certain infectious or parasitic diseases  ","Viral infections characterised by skin or mucous membrane lesions","Measles","Measles","DON2520","A disease of the respiratory system, caused by an infection with Morbillivirus. This disease is characterised by a blotchy rash, fever, cough, conjunctivitis, or malaise. This disease may also present with tiny white spots with bluish-white centres inside the mouth. Transmission is by inhalation of infected respiratory secretions, airborne transmission or direct contact. Confirmation is by detection of Morbillivirus RNA or measles-specific IgM antibodies."
"5076","Seychelles","SC","SYC",2009,"Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1437","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"5077","Seychelles","SC","SYC",2017,"Certain zoonotic bacterial diseases","Plague","Plague, unspecified","A20-A28","A20","A209","1","B93","1B93","Certain infectious or parasitic diseases  ","Certain zoonotic bacterial diseases","Plague","Plague, unspecified  ","DON2370, DON2367","A disease caused by an infection with the gram-negative bacteria Yersinia pestis. This disease commonly presents with an infection of the lymph nodes leading to swelling and pain. This disease may also present with gangrene of the extremities, chills, malaise, high fever, muscle cramps, or seizures. Transmission is through the bite of an infected flea, by direct contact, or by droplet transmission."
"5079","Sierra Leone","SL","SLE",2021,"Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","A80-A89","A80","A809","1","C81","1C81","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","DON2682","A disease of the nervous system, caused by human poliovirus. This disease commonly presents with a fever, sore throat, headache, vomiting, or stiffness of the neck and back. This disease may present with an acute onset of flaccid paralysis. Transmission is commonly by the faecal-oral route or direct contact. Confirmation is by identification of poliovirus in a faecal sample or by a lumbar puncture."
"5080","Sierra Leone","SL","SLE",2000,"Intestinal infectious diseases","Shigellosis","Shigellosis due to Shigella flexneri","A00-A09","A03","A031","1","A02","1A02","Certain infectious or parasitic diseases  ","Gastroenteritis or colitis of infectious origin  ","Bacterial intestinal infections  ","Intestinal infections due to Shigella","DON0371, DON0369","A disease caused by an infection with the gram-negative bacteria Shigella. This disease is characterised by an acute onset of small volume diarrhoea, accompanied by fever and nausea. This disease may also present with toxaemia, vomiting, cramps, and tenesmus. Transmission is by ingestion of contaminated food, or direct contact. Confirmation is by identification of Shigella in a faecal sample."
"5081","Sierra Leone","SL","SLE",2014,"Arthropod-borne viral fevers and viral haemorrhagic fevers","Other viral haemorrhagic fevers, not elsewhere classified","Ebola virus disease","A92-A99","A98","A984","1","D60","1D60","Certain infectious or parasitic diseases  ","Certain zoonotic viral diseases","Filovirus disease","Ebola disease","DON1897, DON1945, DON1962, DON1934, DON1947, DON1963, DON1958, DON1956, DON1892, DON1969, DON1948, DON1964, DON1965, DON1924, DON1959, DON1954, DON1967, DON1943, DON1960, DON1938, DON1926, DON1920, DON1951, DON1952, DON1887, DON1935, DON1923, DON1961, DON1957, DON1927, DON1972, DON1966","A severe disease with high case fatality caused by infection with Ebola virus or a closely related virus. Ebola disease is typically characterised by acute onset of fever with non-specific symptoms/signs (e.g., abdominal pain, anorexia, fatigue, malaise, myalgia, sore throat) usually followed several days later by nausea, vomiting, diarrhoea, and occasionally a variable rash. Hiccups may occur. Severe illness may include haemorrhagic manifestations (e.g., bleeding from puncture sites, ecchymoses, petechiae, visceral effusions), encephalopathy, shock/hypotension, multi-organ failure, spontaneous abortion in infected pregnant women. Common laboratory findings include thrombocytopenia, elevated transaminase concentrations, electrolyte abnormalities, and signs of renal dysfunction. Individuals who recover may experience prolonged sequelae (e.g., arthralgia, neurocognitive dysfunction, uveitis sometimes followed by cataract formation), and clinical and subclinical persistent infection may occur in immune-privileged compartments (e.g., CNS, eyes, testes). Person-to-person transmission occurs by direct contact with blood, other bodily fluids, organs, or contaminated surfaces and materials with risk beginning at the onset of clinical signs and increasing with disease severity. Family members, sexual contacts, healthcare providers, and participants in burial ceremonies with direct contact with the deceased are at particular risk. The incubation period typically is 7–11 days (range ≈2–21 days)."
"5087","Sierra Leone","SL","SLE",2004,"Arthropod-borne viral fevers and viral haemorrhagic fevers","Arenaviral haemorrhagic fever","Lassa fever","A92-A99","A96","A962","1","D61","1D61","Certain infectious or parasitic diseases  ","Certain zoonotic viral diseases","Arenavirus disease","Lassa fever","DON0866","A disease endemic in large parts of sub-Saharan Western Africa caused by infection with Lassa virus. Infection is mild or asymptomatic in most cases, but can cause severe illness or death. After a prodromal period of 7-10 days (sometimes longer), initial symptoms/signs include fever, malaise, headache, sore throat, vomiting, abdominal pain, and diarrhoea. Subsequently, patients develop high fever, extreme lethargy, oedema of head/neck, encephalopathy, pleural effusion, and ascites. Bleeding into the skin, mucosae and underlying tissues occurs in the severest cases. Deafness occurs in many patients, and the disease is often particularly severe in pregnancy. The overall lethality can reach 15% even among hospitalized patients receiving supportive care. Transmission occurs by inhalation, consumption, or direct contact with excretions and bodily fluids from infected rodents. Diagnosis occurs by identification of Lassa virus in blood samples by molecular or serologic methods."
"5090","Sierra Leone","SL","SLE",1996,"Arthropod-borne viral fevers and viral haemorrhagic fevers","Arenaviral haemorrhagic fever","Lassa fever","A92-A99","A96","A962","1","D61","1D61","Certain infectious or parasitic diseases  ","Certain zoonotic viral diseases","Arenavirus disease","Lassa fever","DON0058, DON0046, DON0041, DON0043","A disease endemic in large parts of sub-Saharan Western Africa caused by infection with Lassa virus. Infection is mild or asymptomatic in most cases, but can cause severe illness or death. After a prodromal period of 7-10 days (sometimes longer), initial symptoms/signs include fever, malaise, headache, sore throat, vomiting, abdominal pain, and diarrhoea. Subsequently, patients develop high fever, extreme lethargy, oedema of head/neck, encephalopathy, pleural effusion, and ascites. Bleeding into the skin, mucosae and underlying tissues occurs in the severest cases. Deafness occurs in many patients, and the disease is often particularly severe in pregnancy. The overall lethality can reach 15% even among hospitalized patients receiving supportive care. Transmission occurs by inhalation, consumption, or direct contact with excretions and bodily fluids from infected rodents. Diagnosis occurs by identification of Lassa virus in blood samples by molecular or serologic methods."
"5091","Sierra Leone","SL","SLE",1997,"Arthropod-borne viral fevers and viral haemorrhagic fevers","Arenaviral haemorrhagic fever","Lassa fever","A92-A99","A96","A962","1","D61","1D61","Certain infectious or parasitic diseases  ","Certain zoonotic viral diseases","Arenavirus disease","Lassa fever","DON0152, DON0158, DON0142","A disease endemic in large parts of sub-Saharan Western Africa caused by infection with Lassa virus. Infection is mild or asymptomatic in most cases, but can cause severe illness or death. After a prodromal period of 7-10 days (sometimes longer), initial symptoms/signs include fever, malaise, headache, sore throat, vomiting, abdominal pain, and diarrhoea. Subsequently, patients develop high fever, extreme lethargy, oedema of head/neck, encephalopathy, pleural effusion, and ascites. Bleeding into the skin, mucosae and underlying tissues occurs in the severest cases. Deafness occurs in many patients, and the disease is often particularly severe in pregnancy. The overall lethality can reach 15% even among hospitalized patients receiving supportive care. Transmission occurs by inhalation, consumption, or direct contact with excretions and bodily fluids from infected rodents. Diagnosis occurs by identification of Lassa virus in blood samples by molecular or serologic methods."
"5093","Sierra Leone","SL","SLE",2012,"Intestinal infectious diseases","Cholera","Classical cholera","A00-A09","A00","A000","1","A00","1A00","Certain infectious or parasitic diseases  ","Gastroenteritis or colitis of infectious origin  ","Bacterial intestinal infections  ","Cholera","DON1670, DON1661, DON1667, DON1663","Intestinal infection due to Vibrio cholerae"
"5094","Sierra Leone","SL","SLE",2003,"Arthropod-borne viral fevers and viral haemorrhagic fevers","Yellow fever","Yellow fever, unspecified","A92-A99","A95","A959","1","D47","1D47","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","Yellow fever","Yellow fever, unspecified","DON0790, DON0783","A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample."
"5104","Sierra Leone","SL","SLE",2009,"Arthropod-borne viral fevers and viral haemorrhagic fevers","Yellow fever","Yellow fever, unspecified","A92-A99","A95","A959","1","D47","1D47","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","Yellow fever","Yellow fever, unspecified","DON1341","A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample."
"5117","Sierra Leone","SL","SLE",1998,"Intestinal infectious diseases","Cholera","Classical cholera","A00-A09","A00","A000","1","A00","1A00","Certain infectious or parasitic diseases  ","Gastroenteritis or colitis of infectious origin  ","Bacterial intestinal infections  ","Cholera","DON0258","Intestinal infection due to Vibrio cholerae"
"5126","Sierra Leone","SL","SLE",2011,"Arthropod-borne viral fevers and viral haemorrhagic fevers","Yellow fever","Yellow fever, unspecified","A92-A99","A95","A959","1","D47","1D47","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","Yellow fever","Yellow fever, unspecified","DON1572","A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample."
"5131","Singapore","SG","SGP",2009,"Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1412, DON1426, DON1427, DON1425, DON1416, DON1411, DON1413, DON1435, DON1424, DON1422, DON1420, DON1429, DON1419, DON1433, DON1434, DON1430, DON1431, DON1423, DON1415, DON1428, DON1418","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
